$t$,w_0, (EKF), (VApre), (VAEM)
0,-0.04571599,0.0003619759,0.0003619759,0.0003619759
1,-0.089083746,-0.00091374264,-0.0009137432,-0.0009137432
2,-0.12818784,-0.0029108478,-0.002910862,-0.002910862
3,-0.1388962,-0.0042678965,-0.0042679133,-0.0042679133
4,-0.10801708,-0.0037567094,-0.0037567264,-0.0037567264
5,-0.111363426,-0.0065397024,-0.006539725,-0.006539725
6,-0.050240804,-0.011387075,-0.011387157,-0.011387157
7,-0.03893412,-0.010531377,-0.010531456,-0.010531456
8,0.008865342,-0.01118996,-0.011190044,-0.011190044
9,-0.0025713714,-0.011496463,-0.011496558,-0.011496558
10,0.01198145,-0.011996377,-0.0119964685,-0.0119964685
11,0.059394404,-0.014618284,-0.014618387,-0.014618387
12,0.03448303,-0.014403261,-0.014403362,-0.014403363
13,0.019071586,-0.023390936,-0.02339167,-0.023391671
14,0.06672843,-0.03199178,-0.031993426,-0.03199343
15,0.060281806,-0.03872414,-0.038726095,-0.038726103
16,0.13425615,-0.039064925,-0.039066765,-0.039066777
17,0.13612038,-0.03269926,-0.032700997,-0.032701
18,0.2096518,-0.029485762,-0.029487524,-0.029487535
19,0.18011735,-0.03286142,-0.032863256,-0.032863263
20,0.2121777,-0.036924284,-0.036926255,-0.036926262
21,0.20422709,-0.035036124,-0.03503794,-0.03503794
22,0.21698292,-0.03444261,-0.034444552,-0.034444552
23,0.17379951,-0.042349104,-0.042351365,-0.04235137
24,0.19138296,-0.04447785,-0.044480007,-0.04448
25,0.18432754,-0.042784885,-0.042787015,-0.042787008
26,0.15418366,-0.038006,-0.038008094,-0.038008083
27,0.16993377,-0.04510518,-0.045107532,-0.045107532
28,0.14611152,-0.034001276,-0.034003567,-0.034003567
29,0.18222897,-0.044470765,-0.044473555,-0.044473555
30,0.15732315,-0.056527346,-0.05653126,-0.056531273
31,0.13717566,-0.06259944,-0.06260361,-0.06260362
32,0.12449286,-0.06199557,-0.06199969,-0.061999712
33,0.12819037,-0.06850022,-0.06850464,-0.068504654
34,0.13161881,-0.071743496,-0.071748115,-0.071748145
35,0.1403709,-0.07514394,-0.07514868,-0.07514872
36,0.13532472,-0.06526544,-0.06527035,-0.06527038
37,0.18299578,-0.08379026,-0.083798945,-0.08379898
38,0.19182299,-0.06078306,-0.060793824,-0.060793802
39,0.18583138,-0.068284005,-0.06829568,-0.068295635
40,0.21454409,-0.09172483,-0.09174633,-0.09174622
41,0.21800967,-0.08001468,-0.08003433,-0.08003418
42,0.26452944,-0.095328845,-0.09535228,-0.095352195
43,0.25575268,-0.1025528,-0.102578096,-0.102578
44,0.25250322,-0.11936538,-0.11940593,-0.11940598
45,0.24432454,-0.13231286,-0.13235672,-0.13235669
46,0.26051483,-0.1312162,-0.1312597,-0.13125962
47,0.23708664,-0.117433436,-0.11747487,-0.11747476
48,0.25508454,-0.12594174,-0.12598506,-0.125985
49,0.22509786,-0.12875494,-0.12879896,-0.12879895
50,0.2916038,-0.1117345,-0.11177699,-0.111777
51,0.25404835,-0.064679004,-0.06474695,-0.06474689
52,0.1855282,-0.06891194,-0.0689792,-0.06897999
53,0.21719527,-0.08149133,-0.08157024,-0.08156878
54,0.27351186,-0.056891132,-0.056950543,-0.056952626
55,0.28982723,-0.06088736,-0.0609557,-0.060955416
56,0.27672982,-0.051358122,-0.0514275,-0.051426258
57,0.29597288,-0.038345627,-0.03840695,-0.038406674
58,0.2808576,-0.03734434,-0.037408303,-0.03740708
59,0.28185982,-0.0533591,-0.05343241,-0.053430326
60,0.2119194,-0.025756411,-0.02581187,-0.025812482
61,0.20241648,-0.06531132,-0.06541631,-0.065413214
62,0.1860841,-0.05337912,-0.053472627,-0.053470105
63,0.20824313,-0.070655465,-0.07076914,-0.070764415
64,0.18368132,-0.05368959,-0.053785615,-0.053782437
65,0.22322434,-0.057069663,-0.057167053,-0.05716439
66,0.18549234,-0.0832782,-0.083418466,-0.08341208
67,0.20373884,-0.08484599,-0.08500321,-0.084994435
68,0.14398673,-0.07299118,-0.0731398,-0.0731312
69,0.13957149,-0.09564002,-0.09581173,-0.095802
70,0.15811254,-0.103963934,-0.104136184,-0.10412722
71,0.15553191,-0.0848346,-0.08499343,-0.08498461
72,0.16125175,-0.0808912,-0.08104041,-0.08103283
73,0.1538077,-0.08432855,-0.08447743,-0.084470324
74,0.12091307,-0.11350461,-0.113689,-0.11368028
75,0.14261667,-0.11980747,-0.12000416,-0.11999415
76,0.08650452,-0.08209054,-0.08226288,-0.082255915
77,0.11114015,-0.13140835,-0.13179395,-0.13178536
78,0.12414643,-0.14827439,-0.14868626,-0.14867565
79,0.10451997,-0.096639365,-0.09703017,-0.09702326
80,0.112281404,-0.10127378,-0.10167075,-0.10166002
81,0.13370028,-0.0933668,-0.09375603,-0.093753986
82,0.14786626,-0.07842311,-0.07877979,-0.07878174
83,0.15048428,-0.049583483,-0.04986363,-0.049878683
84,0.16901997,-0.05381573,-0.05410547,-0.05411606
85,0.17982224,-0.07920427,-0.07955427,-0.07956005
86,0.14352928,-0.089146405,-0.089532495,-0.08954655
87,0.14490914,-0.12589242,-0.12637074,-0.12637483
88,0.12296091,-0.12002565,-0.120485365,-0.12049678
89,0.139832,-0.1072622,-0.107690684,-0.10769957
90,0.16061546,-0.1297402,-0.13022326,-0.13023032
91,0.24752079,-0.09056957,-0.09100187,-0.0910045
92,0.19818497,-0.114581026,-0.1150697,-0.11506863
93,0.21623215,-0.09156714,-0.09201584,-0.092012025
94,0.26589167,-0.087968364,-0.08840845,-0.08840673
95,0.24310723,-0.059991222,-0.060365267,-0.060366664
96,0.23771548,-0.05342214,-0.0537779,-0.053784676
97,0.23396426,-0.045956794,-0.046295337,-0.046303052
98,0.17532383,-0.029619932,-0.029921146,-0.029930266
99,0.15998296,-0.031614937,-0.031919453,-0.031930108
100,0.15776049,-0.05477768,-0.05514007,-0.05515044
101,0.20383638,-0.046158217,-0.04650112,-0.046512127
102,0.18079382,0.007915521,0.0076777767,0.007662253
103,0.19597441,0.05414733,0.054042734,0.054019835
104,0.20766887,0.058160115,0.05806129,0.058036905
105,0.23092939,0.092931524,0.09295243,0.09292223
106,0.23779747,0.07457621,0.074574925,0.074551046
107,0.18147294,0.08778061,0.08781585,0.08778904
108,0.19884357,0.10012694,0.10021986,0.10019312
109,0.20155802,0.123695046,0.12386374,0.123833336
110,0.24032038,0.13712233,0.13731469,0.13727948
111,0.2452939,0.14843023,0.14865191,0.14861438
112,0.22165763,0.15919864,0.1594441,0.15940367
113,0.27862924,0.15426967,0.15448965,0.15444782
114,0.24198459,0.13541019,0.13559026,0.13555352
115,0.21339773,0.14019829,0.14037694,0.14033681
116,0.22120486,0.15698685,0.15722439,0.15718342
117,0.21105193,0.115181714,0.11534837,0.11531771
118,0.19282867,0.11059363,0.11075238,0.11072395
119,0.10200325,0.115023166,0.11519638,0.11516804
120,0.082879245,0.089603886,0.089710675,0.08968485
121,0.117484674,0.092864595,0.09298328,0.09295782
122,0.10127416,0.08034649,0.08043209,0.08040864
123,0.035310224,0.09088295,0.09099285,0.09096692
124,0.0033347942,0.06850503,0.06856699,0.06854909
125,-0.023707738,0.07869965,0.07878724,0.0787679
126,-0.07598876,0.083463356,0.08356411,0.08354502
127,-0.05947505,0.062127553,0.06218086,0.062162846
128,-0.056749593,0.04905003,0.04907157,0.04905581
129,-0.05835513,0.067495234,0.067561544,0.06754297
130,-0.057448346,0.09989749,0.10004113,0.10001575
131,-0.09937058,0.05760625,0.05766414,0.057644926
132,-0.09364574,0.044552352,0.044577308,0.04456047
133,-0.06427765,0.07820322,0.07831361,0.078290574
134,-0.041053377,0.063933335,0.064012304,0.06399256
135,0.0013578907,0.022212714,0.022195807,0.0221838
136,0.03656551,-0.0050249305,-0.005103541,-0.005109387
137,0.036046084,-0.036412466,-0.03656578,-0.036565352
138,0.021800553,-0.035544112,-0.03569377,-0.0356932
139,-0.03498485,0.018547162,0.01852844,0.018519172
140,-0.018303916,0.031219164,0.03123374,0.031221991
141,-0.040584825,0.058985323,0.059074696,0.05905809
142,-0.019010965,0.08637817,0.08653979,0.08651693
143,0.020526987,0.11312839,0.113366716,0.1133402
144,0.050702997,0.14137836,0.14170103,0.14167093
145,0.041759744,0.14800353,0.14834383,0.14831239
146,0.048966583,0.17208113,0.17248496,0.1724504
147,0.041199278,0.16891967,0.1693151,0.16928156
148,0.038095273,0.21449687,0.21504596,0.21500556
149,0.040363148,0.20206812,0.20258369,0.20254509
